id,timestamp,cpu_percent,memory_percent,disk_percent,network_sent,network_recv,process_count
486,2026-07-29T21:01:57.878953,34.9,98.5,85.8,271892538,2078781808,315
487,2026-07-29T21:02:00.899358,29.5,91.4,86.1,271893031,2078782022,316
488,2026-07-29T21:02:03.916123,25.5,95.9,86.1,271893946,2078783033,317
489,2026-07-29T21:02:06.958928,22.4,96.5,86.1,271906890,2078787047,316
490,2026-07-29T21:02:09.977755,34.8,96.7,86.1,271908531,2078788682,316
491,2026-07-29T21:02:12.994928,16.9,95.1,86.1,271909324,2078789351,316
492,2026-07-29T21:02:16.017822,35.7,96.6,86.1,271909750,2078790665,316
493,2026-07-29T21:02:19.559632,27.3,98.1,86.1,271910193,2078799742,316
494,2026-07-29T21:02:22.575106,27.6,96.4,86.1,271916047,2078804643,315
495,2026-07-29T21:02:26.045243,56.8,95.0,86.1,271938426,2078906513,316
496,2026-07-29T21:02:29.069153,38.3,90.3,86.1,271939059,2078908152,315
497,2026-07-29T21:02:32.088169,37.9,90.3,86.3,271939618,2078908859,315
498,2026-07-29T21:02:35.103762,27.4,91.3,86.3,271940178,2078909518,314
499,2026-07-29T21:02:38.127758,33.8,88.4,86.4,271956617,2078918058,314
500,2026-07-29T21:02:41.144108,45.4,91.1,86.4,271957716,2078920272,316
501,2026-07-29T21:02:44.162901,37.0,91.2,86.4,271976189,2078930312,315
502,2026-07-29T21:02:47.180927,31.8,92.4,86.2,271977236,2078934205,316
503,2026-07-29T21:02:50.196329,16.5,93.0,86.2,272013724,2078939739,316
504,2026-07-29T21:02:53.209604,19.0,93.2,86.2,272053427,2078973321,317
505,2026-07-29T21:02:56.230119,13.5,93.7,86.2,272061644,2078984930,318
506,2026-07-29T21:02:59.250075,12.0,92.4,86.2,272062477,2078986138,318
507,2026-07-29T21:03:02.294526,16.5,91.7,86.1,272068801,2079117854,317
508,2026-07-29T21:03:05.309737,25.6,92.1,86.2,272156931,2086511586,318
509,2026-07-29T21:03:08.336534,23.3,92.0,86.2,272169528,2086512190,319
510,2026-07-29T21:03:11.353935,33.7,92.2,86.2,272192636,2086534294,320
511,2026-07-29T21:03:14.369516,23.5,92.4,85.9,272193419,2086535729,320
512,2026-07-29T21:03:17.383849,43.6,93.1,85.9,272235515,2086560333,321
513,2026-07-29T21:03:20.399597,27.9,93.2,85.9,272249628,2086570436,321
514,2026-07-29T21:03:23.413886,22.1,87.2,85.9,272262087,2086574103,321
515,2026-07-29T21:03:26.436599,40.1,89.1,85.9,272313876,2086725926,322
516,2026-07-29T21:03:29.452472,44.8,88.8,85.9,272338074,2086896661,322
517,2026-07-29T21:03:32.467177,25.4,88.7,85.9,272367644,2087002331,319
518,2026-07-29T21:03:35.481582,13.9,88.9,85.9,272368197,2087002899,319
519,2026-07-29T21:03:38.491442,10.7,89.1,85.9,272381179,2087005134,319
520,2026-07-29T21:03:41.509237,14.1,89.3,85.9,272381439,2087005536,319
521,2026-07-29T21:03:44.520984,12.3,88.8,85.9,272382038,2087006480,318
522,2026-07-29T21:03:47.536477,13.7,88.1,85.9,272383633,2087007913,317
523,2026-07-29T21:03:50.552727,15.1,88.1,85.9,272384065,2087008576,317
524,2026-07-29T21:03:53.566054,11.9,88.3,85.9,272385006,2087009236,317
525,2026-07-29T21:03:56.633549,28.6,88.8,85.9,272385275,2087009730,318
526,2026-07-29T21:03:59.651577,26.4,89.2,85.9,272397747,2087013012,319
527,2026-07-29T21:04:02.660300,24.1,89.2,85.9,272398190,2087014171,319
528,2026-07-29T21:04:05.677688,16.3,89.8,85.9,272399012,2087015436,319
529,2026-07-29T21:04:08.772312,23.0,89.9,85.9,272399600,2087016224,319
530,2026-07-29T21:04:11.789577,17.5,89.6,85.9,272400483,2087017102,318
531,2026-07-29T21:04:14.801996,12.3,89.7,85.9,272400988,2087017757,317
532,2026-07-29T21:04:17.816453,26.0,89.7,85.9,272455340,2087028417,317
533,2026-07-29T21:04:20.834434,26.8,90.1,85.9,272579957,2087136048,317
534,2026-07-29T21:04:23.857209,24.8,90.5,85.9,272603709,2087142231,317
535,2026-07-29T21:04:26.872894,46.0,92.6,85.9,272653964,2087181803,318
536,2026-07-29T21:04:29.889653,45.5,92.4,85.9,272657149,2087187779,317
537,2026-07-29T21:04:32.905960,44.2,91.0,85.9,272658668,2087192977,317
538,2026-07-29T21:04:35.922600,12.9,91.2,85.9,272783059,2087219459,317
539,2026-07-29T21:04:38.929189,12.9,91.2,85.9,272783523,2087220343,317
540,2026-07-29T21:04:41.951416,17.1,91.4,85.9,272783973,2087220805,317
541,2026-07-29T21:04:44.959466,12.8,91.3,85.9,272784253,2087221364,316
542,2026-07-29T21:04:47.980234,14.9,91.6,85.9,272808164,2087223694,316
543,2026-07-29T21:04:50.991038,14.7,92.2,85.9,272839456,2087228010,316
544,2026-07-29T21:04:54.012782,1.7,92.0,85.9,272855121,2087232073,316
545,2026-07-29T21:04:57.053270,10.0,92.2,85.9,272855456,2087232635,315
546,2026-07-29T21:05:00.127034,24.8,93.2,85.9,272856253,2087233294,316
547,2026-07-29T21:05:03.168874,11.0,93.1,85.9,272856478,2087233637,316
548,2026-07-29T21:05:06.192119,17.4,92.1,85.9,272871165,2087236312,315
549,2026-07-29T21:05:09.209804,20.3,89.2,85.9,272871576,2087236858,314
550,2026-07-29T21:05:12.245100,31.9,89.6,85.9,272872540,2087237960,321
551,2026-07-29T21:05:15.266152,13.4,89.3,85.9,272875716,2087244596,315
552,2026-07-29T21:05:18.332150,24.3,90.3,85.9,272886467,2087274721,315
553,2026-07-29T21:05:21.372329,86.0,97.8,85.9,272910516,2087278106,323
554,2026-07-29T21:05:24.405108,90.7,99.7,85.9,272985316,2087360573,323
555,2026-07-29T21:05:27.432099,68.9,94.0,85.9,272993191,2087370443,315
556,2026-07-29T21:05:30.450552,17.5,95.4,85.9,273021337,2087388610,315
557,2026-07-29T21:05:33.466927,30.8,95.3,85.9,273021637,2087389027,320
558,2026-07-29T21:05:36.502482,17.5,96.1,85.9,273022509,2087389846,315
559,2026-07-29T21:05:39.519903,21.4,96.1,85.9,273042438,2087401329,315
560,2026-07-29T21:05:42.552518,19.3,96.4,85.9,273042869,2087401797,316
561,2026-07-29T21:05:45.572512,35.9,96.9,85.9,273043094,2087402054,316
562,2026-07-29T21:05:48.598326,15.4,96.6,85.9,273107506,2087520721,316
563,2026-07-29T21:05:51.619343,45.6,95.0,85.9,273128334,2087584385,316
564,2026-07-29T21:05:54.643907,80.6,96.8,85.9,273148661,2087595344,321
565,2026-07-29T21:05:57.666811,27.0,95.6,85.9,273192601,2087620591,313
566,2026-07-29T21:06:00.681073,61.5,97.3,85.9,273196405,2087633438,315
567,2026-07-29T21:06:04.319916,29.4,94.9,85.9,273205019,2087635558,316
568,2026-07-29T21:06:07.336705,34.9,95.9,85.9,273242007,2087658853,317
569,2026-07-29T21:06:10.352651,29.7,96.6,85.9,273271033,2088345086,317
570,2026-07-29T21:06:13.370616,42.9,91.1,85.9,273271644,2088345429,318
571,2026-07-29T21:06:16.386057,38.6,91.9,85.9,273271908,2088345745,318
572,2026-07-29T21:06:19.404353,81.4,95.5,85.9,273316846,2088490554,319
573,2026-07-29T21:06:22.422605,63.7,95.5,85.9,273325966,2088507767,318
574,2026-07-29T21:06:25.443983,40.1,91.8,85.9,273327490,2088509716,318
575,2026-07-29T21:06:28.459477,48.8,90.0,85.9,273358852,2088552268,318
576,2026-07-29T21:06:31.475712,27.5,84.7,85.9,273388789,2088660609,318
577,2026-07-29T21:06:34.491983,10.9,85.9,85.9,273395754,2088669768,318
578,2026-07-29T21:06:37.517749,26.2,85.9,85.9,273395972,2088670160,318
579,2026-07-29T21:06:40.579887,8.3,85.8,85.9,273398541,2088672669,318
580,2026-07-29T21:06:43.606944,24.0,86.2,85.9,273410933,2088675860,318
581,2026-07-29T21:06:46.630032,7.6,85.6,85.9,273411597,2088676852,318
582,2026-07-29T21:06:49.652423,13.2,85.8,85.9,273412049,2088677687,317
583,2026-07-29T21:06:52.671883,9.9,85.8,85.9,273412457,2088678175,317
584,2026-07-29T21:06:55.696260,16.1,86.2,85.9,273421393,2088691016,318
585,2026-07-29T21:06:58.723389,27.2,86.9,85.9,273452594,2088822985,318
586,2026-07-29T21:07:01.747923,16.4,86.7,85.9,273456918,2088883894,316
587,2026-07-29T21:07:04.768210,20.2,86.7,85.9,273460122,2088897705,317
588,2026-07-29T21:07:07.837007,11.9,86.5,85.9,273460551,2088898335,316
589,2026-07-29T21:07:10.861204,22.2,87.2,85.9,273466805,2088928317,317
590,2026-07-29T21:07:13.887984,12.9,86.9,85.9,273467483,2088928974,308
591,2026-07-29T21:07:16.911885,37.2,87.4,85.9,273471220,2088941002,309
592,2026-07-29T21:07:19.933627,22.3,85.2,85.9,273482968,2088987985,315
593,2026-07-29T21:07:22.960663,10.3,85.4,85.9,273486870,2088997057,309
594,2026-07-29T21:07:25.971022,46.7,86.0,85.9,273487366,2088997842,309
595,2026-07-29T21:07:28.997295,12.9,84.9,85.9,273488700,2088999167,309
596,2026-07-29T21:07:32.013362,29.2,85.1,85.9,273488857,2088999727,309
597,2026-07-29T21:07:35.084841,12.8,85.4,85.9,273489528,2089000214,309
598,2026-07-29T21:07:38.108142,13.6,85.6,85.9,273489753,2089000557,309
599,2026-07-29T21:07:41.176826,27.7,85.5,85.9,273490321,2089001026,315
600,2026-07-29T21:07:44.197534,12.0,88.2,85.9,273490696,2089001541,309
601,2026-07-29T21:07:47.221231,26.9,88.5,85.9,273491674,2089002925,308
602,2026-07-29T21:07:50.247556,7.2,86.9,85.9,273492179,2089003506,308
603,2026-07-29T21:07:53.308635,13.1,86.6,85.9,273493218,2089004708,306
604,2026-07-29T21:07:56.321904,7.4,86.9,85.9,273493877,2089005394,307
605,2026-07-29T21:07:59.395821,30.1,88.2,85.9,273495585,2089007535,308
606,2026-07-29T21:08:02.432766,28.6,90.6,85.9,273496012,2089008322,312
607,2026-07-29T21:08:05.454294,23.1,91.6,85.9,273496800,2089009087,308
608,2026-07-29T21:08:08.471871,35.6,89.8,85.9,273497313,2089009891,307
609,2026-07-29T21:08:11.606724,12.2,88.8,85.9,273497991,2089010379,307
610,2026-07-29T21:08:14.629408,40.0,90.5,85.9,273539120,2089138247,315
611,2026-07-29T21:08:17.652413,31.6,91.2,85.9,273547009,2089235750,310
612,2026-07-29T21:08:20.672038,6.0,90.8,85.9,273547288,2089236232,309
613,2026-07-29T21:08:23.688702,31.1,85.6,85.9,273548141,2089236978,309
614,2026-07-29T21:08:26.758369,8.8,83.9,85.9,273570154,2089241928,308
615,2026-07-29T21:08:29.817418,29.9,83.9,85.9,273571282,2089242946,308
616,2026-07-29T21:08:32.885895,7.1,83.9,85.9,273572109,2089244129,308
617,2026-07-29T21:08:35.910395,14.9,83.9,85.9,273574262,2089246191,308
618,2026-07-29T21:08:38.977535,24.7,84.1,85.9,273575110,2089247071,308
619,2026-07-29T21:08:42.050451,13.2,84.0,85.9,273575647,2089247561,308
620,2026-07-29T21:08:45.075693,12.2,84.2,85.9,273575927,2089248398,311
621,2026-07-29T21:08:48.099725,17.3,84.0,85.9,273576661,2089249224,308
622,2026-07-29T21:08:51.169345,44.2,84.2,85.9,273577445,2089250172,308
623,2026-07-29T21:08:54.239501,47.0,87.7,85.9,273578887,2089252437,308
624,2026-07-29T21:08:57.261463,17.7,86.0,85.9,273588559,2089255274,308
625,2026-07-29T21:09:00.286299,16.8,87.1,85.9,273596757,2089267215,307
626,2026-07-29T21:09:03.310663,6.9,86.6,85.9,273596832,2089267387,307
627,2026-07-29T21:09:06.343611,39.1,87.4,85.9,273597590,2089268186,308
628,2026-07-29T21:09:09.358122,27.1,87.8,85.9,273625958,2089309434,307
629,2026-07-29T21:09:12.405326,51.8,92.3,85.9,273684510,2089453039,308
630,2026-07-29T21:09:15.428854,14.6,91.5,85.9,273684821,2089453374,308
631,2026-07-29T21:09:18.452391,33.6,91.1,85.9,273685438,2089462767,307
632,2026-07-29T21:09:21.513509,18.4,90.8,85.9,273685567,2089463089,307
633,2026-07-29T21:09:24.548426,42.6,93.0,85.9,273686379,2089463760,307
634,2026-07-29T21:09:27.577848,31.6,92.7,85.9,273696899,2089483762,311
635,2026-07-29T21:09:30.593529,27.7,94.1,85.9,273698651,2089485981,305
636,2026-07-29T21:09:33.616283,25.5,87.9,85.9,273699242,2089486911,305
637,2026-07-29T21:09:36.630221,19.2,88.8,85.9,273703349,2089487384,304
638,2026-07-29T21:09:39.643328,41.1,90.2,85.9,273703760,2089488215,304
639,2026-07-29T21:09:42.665402,66.6,94.4,85.9,273730449,2089541095,304
640,2026-07-29T21:09:45.715744,94.3,96.0,85.9,273804274,2089680097,308
641,2026-07-29T21:09:48.723162,61.9,93.9,85.9,273805460,2089681412,304
